model,layer,name,name_id,shape[0],shape[1]
Mistral-7B-v0.1,7,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,7,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,7,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,7,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,8,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,8,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,8,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,8,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,8,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,8,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,8,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,9,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,9,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,9,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,9,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,9,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,9,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,9,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,10,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,10,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,10,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,10,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,10,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,10,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,10,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,11,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,11,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,11,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,11,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,11,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,11,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,11,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,12,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,12,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,12,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,12,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,12,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,12,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,12,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,13,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,13,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,13,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,13,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,13,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,13,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,13,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,14,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,14,self_attn.k_proj,2,1024,4096
